subject,subjNum,condition,runNum,trial,playerNum,endowment,propReturned,returned,trialRT,optimal_choice,binned_trial_num
7,4007,1,2,50,3,5,0.2,4,2.07888662,0,14
7,4007,1,2,51,1,2.5,0.1,1,2.714462686,0,12
7,4007,1,2,52,4,7.5,0.25,7.5,1.136982334,10,12
7,4007,1,2,53,1,0,0.05,0,1.714408173,0,13
7,4007,1,2,54,4,5,0.15,3,2.342290845,0,13
7,4007,1,2,55,1,-1,0,-1,-1,0,14
7,4007,1,2,56,4,5,0.4,8,1.384435646,10,14
7,4007,1,2,57,3,2.5,0.25,2.5,1.267975418,10,15
7,4007,1,2,58,1,2.5,0,0,2.090131961,0,15
7,4007,1,2,59,2,2.5,0.4,4,2.991257736,10,15
7,4007,1,2,60,4,5,0.2,4,2.835616863,0,15
8,4008,1,1,1,1,-1,0.05,-1,-1,0,1
8,4008,1,1,2,2,10,0.4,16,1.614203841,10,1
8,4008,1,1,3,1,10,0.1,4,1.75605087,0,2
8,4008,1,1,4,4,10,0.45,18,1.606267762,10,1
8,4008,1,1,5,3,10,0.3,12,2.684122475,10,1
8,4008,1,1,6,4,10,0.2,8,1.306138715,0,2
8,4008,1,1,7,1,10,0.05,2,0.736488939,0,3
8,4008,1,1,8,1,5,0,0,1.88623673,0,4
8,4008,1,1,9,2,5,0.5,10,2.930182808,10,2
8,4008,1,1,10,2,10,0.4,16,1.403981595,10,3
8,4008,1,1,11,2,10,0.3,12,1.232840547,10,4
8,4008,1,1,12,2,10,0.5,20,1.052126184,10,5
