subject,subjNum,condition,runNum,trial,playerNum,endowment,propReturned,returned,trialRT,optimal_choice,binned_trial_num,delta,q_val
4,4004,1,1,28,1,0,0,0,0.725855916,0,8,-3.72E-09,3.27E-09
4,4004,1,1,29,3,7.5,0.25,7.5,1.059125278,10,10,-1.520132536,1.336413999
4,4004,1,1,30,2,10,0.45,18,0.825051189,10,8,-1.023136282,8.899483182
4,4004,1,2,31,1,0,0,0,1.140301548,0,9,0.024710259,-0.00985385
4,4004,1,2,32,1,2.5,0.05,0.5,1.187443478,0,10,-1.99014615,-0.250376785
4,4004,1,2,33,3,5,0.25,5,0.681252869,10,11,-1.307801648,1.149744769
4,4004,1,2,34,2,10,0.4,16,0.77724896,10,9,-2.868105038,8.521474696
4,4004,1,2,35,1,0,0.1,0,0.698845459,0,11,0.290949667,-0.116023653
4,4004,1,2,36,3,5,0.2,4,1.090989275,0,12,-2.129702977,0.872313634
4,4004,1,2,37,4,5,0.1,2,1.836287995,0,5,-4.015495657,0.530195219
4,4004,1,2,38,4,0,0.25,0,0.825260698,10,6,-0.530195219,0.466117458
4,4004,1,2,39,4,0,0.15,0,0.684507273,0,7,-0.466117458,0.409783938
4,4004,1,2,40,4,10,0.05,2,1.65107844,0,8,-8.409783938,-0.606596648
4,4004,1,2,41,4,0,0.45,0,0.645667379,10,9,0.606596648,-0.241895995
4,4004,1,2,42,2,10,0.3,12,0.774732894,10,10,-6.394517028,7.621695394
4,4004,1,2,43,1,0,0.1,0,1.330172912,0,12,0.312934663,-0.124790735
4,4004,1,2,44,1,0,0.05,0,0.723442252,0,13,0.124790735,-0.049763511
4,4004,1,2,45,2,10,0.5,20,0.759315424,10,11,2.366532779,9.056284267
4,4004,1,2,46,4,0,0.25,0,1.198776394,10,10,0.228609361,-0.091163855
4,4004,1,2,47,3,5,0.15,3,1.329486488,0,13,-2.777658149,0.44195894
4,4004,1,2,48,3,2.5,0.35,3.5,1.2104233,10,14,0.55804106,0.777466793
4,4004,1,2,49,3,2.5,0.15,1.5,1.208548624,0,15,-1.777466793,0.562647631
4,4004,1,2,50,2,10,0.45,18,0.640429133,10,12,-1.03318245,8.908315201
4,4004,1,2,51,4,0,0.2,0,0.596742524,0,11,0.130452049,-0.052021105
4,4004,1,2,52,2,10,0.35,14,0.795497515,10,13,-4.911823472,8.318195615
4,4004,1,2,53,1,0,0,0,0.782614273,0,14,0.063474826,-0.025312217
4,4004,1,2,54,4,0,0.25,0,0.885595248,10,12,0.098037076,-0.039094802
4,4004,1,2,55,1,0,0.05,0,1.029861003,0,15,0.022675689,-0.009042513
4,4004,1,2,56,4,0,0.5,0,0.764267255,10,13,0.038484981,-0.015346875
4,4004,1,2,57,4,0,0.3,0,0.597572017,10,14,0.015346875,-0.00611996
4,4004,1,2,58,2,10,0.35,14,0.94877597,10,14,-4.324596714,7.801939274
4,4004,1,2,59,4,0,0.4,0,0.719939333,10,15,0.048137508,-0.019196068
4,4004,1,2,60,2,10,0.5,20,0.93929648,10,15,2.196766155,9.123983069
5,4005,1,1,1,3,7.5,0.25,7.5,2.733976495,10,1,-1.999999953,1.866861486
5,4005,1,1,2,1,7.5,0,0,1.706721329,0,1,-9.499999953,1.367592221
5,4005,1,1,3,4,7.5,0.45,13.5,1.933752204,10,1,4.000000047,2.1874385
5,4005,1,1,4,1,7.5,0.05,1.5,2.130761429,0,2,-7.367592221,0.877137242
5,4005,1,1,5,1,5,0.1,2,1.608938223,0,3,-3.877137242,0.619039181
5,4005,1,1,6,4,7.5,0.35,10.5,1.717456606,10,2,1.355227199,1.708278255
5,4005,1,1,7,2,7.5,0.5,15,1.639269388,10,1,5.500000047,2.257727954
5,4005,1,1,8,1,2.5,0.05,0.5,1.494541124,0,4,-2.709526016,0.529154941
5,4005,1,1,9,1,5,0,0,1.942569423,0,5,-5.529154941,0.161083325
5,4005,1,1,10,1,0,0.2,0,1.14284933,0,6,-0.161083325,0.150360132
5,4005,1,1,11,2,7.5,0.4,12,1.18974815,10,2,2.647640976,1.976426517
5,4005,1,1,12,4,7.5,0.25,7.5,1.284228073,10,3,-1.479689021,1.381187255
5,4005,1,1,13,2,-1,0.5,-1,-1,10,3,0,1.905017375
5,4005,1,1,14,3,7.5,0.3,9,1.656694202,10,2,0.385315752,1.132740004
5,4005,1,1,15,1,2.5,0.15,1.5,1.537332319,0,7,-1.28145774,0.196152079
5,4005,1,1,16,4,7.5,0.3,9,1.790595622,10,4,0.154928278,1.352331604
5,4005,1,1,17,2,7.5,0.5,15,1.581795309,10,4,5.620753789,2.142632688
5,4005,1,1,18,1,2.5,0.1,1,1.644123149,0,8,-2.08178719,0.443204208
5,4005,1,1,19,3,7.5,0.25,7.5,1.577200524,10,3,-1.356066394,1.265794091
